beta,faces_detected_foggy,similarity_foggy,faces_detected_dehazed,similarity_dehazed,mean_pixel_intensity
0.5,1,0.8148937225341797,1,0.8016455769538879,0.5149818
1.0,1,0.8081099390983582,1,0.8090493083000183,0.66606086
1.5,1,0.7796187996864319,1,0.8078636527061462,0.75724816
2.0,1,0.747904896736145,1,0.777874767780304,0.812558
2.5,1,0.7001939415931702,1,0.7403662204742432,0.8459366
3.0,1,0.6098194122314453,1,0.6923664212226868,0.867108
3.3,0,,1,0.6370211839675903,0.87539315
3.6,0,,1,0.5783311128616333,0.8811463
3.9,0,,1,0.5292150378227234,0.8847645
4.2,0,,0,,0.88925576
4.5,0,,0,,0.89066994
5.0,0,,0,,0.89327407
6.0,0,,0,,0.8961144
