condition,mean_tar,tar_ci_lower,tar_ci_upper,mean_auc,auc_ci_lower,auc_ci_upper,detection_failure_rate,n_valid_folds
raw_beta0.5,0.9763333333333334,0.970443995917323,0.9822226707493438,0.9895555555555555,0.9863784465860839,0.9927326645250272,0.0,10
pretrained_beta0.5,0.9786666666666667,0.9713645042566378,0.9859688290766956,0.9924288888888888,0.9898711986073038,0.9949865791704738,0.0,10
finetuned_beta0.5,0.9710481892439823,0.9629692278106715,0.9791271506772931,0.9919820389707548,0.9891247775453749,0.9948393003961347,0.016666666666666666,10
raw_beta1.5,0.9783333333333333,0.9743990710729434,0.9822675955937231,0.9911044444444445,0.9883998475889334,0.9938090412999555,0.0,10
pretrained_beta1.5,0.9793333333333333,0.9739659491008474,0.9847007175658191,0.9926222222222222,0.9903667652574051,0.9948776791870393,0.0,10
finetuned_beta1.5,0.9806666666666665,0.9746342475657223,0.9866990857676107,0.9927655555555557,0.9904722270433748,0.9950588840677366,0.0,10
raw_beta2.5,0.968389924433545,0.9569124060443077,0.9798674428227823,0.9946667374665317,0.9908529939660675,0.9984804809669958,0.0535,10
pretrained_beta2.5,0.9823132290333925,0.97753544618993,0.9870910118768549,0.9931069748278502,0.990214394536788,0.9959995551189124,0.0006666666666666666,10
finetuned_beta2.5,0.9826666666666665,0.9788053424727848,0.9865279908605481,0.9929677777777778,0.9905085230619953,0.9954270324935602,0.0,10
raw_beta3.0,0.9693695879832896,0.9494873795328259,0.9892517964337534,0.9970341472022148,0.9939526490691024,1.0001156453353273,0.7858333333333334,10
pretrained_beta3.0,0.9698905581507191,0.960084254116511,0.9796968621849272,0.9949853658252532,0.9931530568101886,0.9968176748403178,0.017,10
finetuned_beta3.0,0.9839888143176735,0.9798119693506391,0.9881656592847079,0.9934624384787473,0.9913839249099591,0.9955409520475355,0.0003333333333333333,10
raw_beta3.5,,,,,,,0.9998333333333334,0
pretrained_beta3.5,0.928311182273594,0.9027157989424485,0.9539065656047395,0.9949023461844945,0.9924930402552221,0.9973116521137668,0.44083333333333335,10
finetuned_beta3.5,0.977268486304086,0.9690661602476849,0.9854708123604872,0.9958763581668771,0.9944324272627874,0.9973202890709669,0.0023333333333333335,10
raw_beta4.0,,,,,,,1.0,0
pretrained_beta4.0,1.0,,,1.0,,,0.9975,4
finetuned_beta4.0,0.9169999852561231,0.8870541863877134,0.9469457841245329,0.9928973406812162,0.9899468804255168,0.9958478009369155,0.12666666666666668,10
