frame,beta,faces_raw,faces_dehazed
0,0.0,1,1
1,0.08974358974358974,1,1
2,0.1794871794871795,1,1
3,0.2692307692307692,1,1
4,0.358974358974359,1,1
5,0.44871794871794873,1,1
6,0.5384615384615384,1,1
7,0.6282051282051282,1,1
8,0.717948717948718,2,2
9,0.8076923076923077,1,1
10,0.8974358974358975,1,1
11,0.9871794871794872,1,1
12,1.0769230769230769,1,1
13,1.1666666666666667,1,1
14,1.2564102564102564,1,1
15,1.3461538461538463,1,1
16,1.435897435897436,1,1
17,1.5256410256410255,1,1
18,1.6153846153846154,1,1
19,1.705128205128205,2,2
20,1.794871794871795,3,3
21,1.8846153846153846,2,2
22,1.9743589743589745,1,1
23,2.0641025641025643,2,2
24,2.1538461538461537,1,1
25,2.2435897435897436,1,1
26,2.3333333333333335,1,1
27,2.423076923076923,1,2
28,2.5128205128205128,1,1
29,2.6025641025641026,1,1
30,2.6923076923076925,1,1
31,2.782051282051282,0,1
32,2.871794871794872,0,0
33,2.9615384615384617,0,0
34,3.051282051282051,0,0
35,3.141025641025641,0,0
36,3.230769230769231,0,1
37,3.3205128205128207,0,0
38,3.41025641025641,0,0
39,3.5,0,0
